,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
730,QY4-5Qwa,peugeot,206,1385,210000,120000000,نوکu200cمدادی,سالم,,,12
731,QY4yZWTR,peugeot,206,1399,3700,248000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
732,QY465-eB,paykan,pickup,1386,267000,77000000,سفید,سالم,سالم و پلمپ,دوررنگ,7
733,QYxiLZGT,mvm,x22,1400,0,174000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
734,QY42pViz,renault,sandero,1396,125,420000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,10
735,QY42pVCW,fidelity,prime,1400,0,1020000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
736,QY42ZH0o,hyundai,azera-grandeur,2010,160000,715000000,سفید صدفی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,6
737,QY4up80_,samand,lx,1400,7300,338000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
738,QY42JvFQ,renault,sandero,1396,65000,410000000,نقرهu200cای,سالم,سالم و پلمپ,صافکاری بیu200cرنگ,5
739,QYTGYlR-,nissan,maxima-ir,1391,112000,850000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
740,AYoea6OV,mvm,x22,1400,0,290000000,قرمز,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
741,QY9osm3j,chery,arrizo-5te,1400,0,188000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
742,QYzyVx4k,peugeot,pars,1398,36000,275000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
743,QYuaQBUy,hyundai,azera-grandeur,2008,180000,660000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
744,QY4yZBTb,peugeot,pars,1400,10000,325000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
745,QY4y5wuV,peugeot,207i,1400,43,378000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
746,QYz26CHW,daewoo,matiz,1382,180000,70000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,3
747,QY4y5TR-,peugeot,206-sd,1393,125000,205000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,5
748,QYruBb5E,mvm,x22,1400,0,580000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
749,AYVW4BJ5,mvm,x22,1400,0,129000000,آبی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
750,QYh-cqc1,mvm,x22,1400,0,290000000,قرمز,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
751,QYhytbSW,mvm,x22,1400,0,290000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
752,QY4ypGo3,peugeot,pars,1391,180000,158000000,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,3
753,QY4ypDtL,quick,manual,1399,18500,180000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
754,QY4qZ4p3,renault,tondar-90,1396,80000,310000000,سفید,سالم,سالم و پلمپ,صافکاری بیu200cرنگ، در ۲ ناحیه,12
755,QY4mpUes,samand,lx,1397,97700,209000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۱ ناحیه,3
756,QY062jNi,quick,automatic,1400,0,283000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
757,QY4yZT-v,peugeot,pars,1400,0,282000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
758,QY4qprR3,dena,plus,1399,12000,375000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
759,QY4uZf4X,peugeot,206,1396,110000,193000000,سفید,سالم,سالم و پلمپ,,4
760,QY4qpc05,tiba,sedan,1400,0,180000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
761,QY4mp3Xw,renault,tondar-90,1392,150000,252000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
762,QYyCxDiz,daewoo,cielo,1379,256000,89000000,سفید,سالم,سالم و پلمپ,تمامu200cرنگ,3
763,QY4qZiOG,hyundai,sonata-yf,2013,146000,940000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
764,QY2mHxR_,peugeot,405,1399,4500,265000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,1
765,QY4mZ4Q3,peugeot,206,1395,102000,196000000,سفید,سالم,سالم و پلمپ,,9
